ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot
201.9109280464781,-47.65838057260063,-3.7380504211444623,-6.951765668329297,0.1136729920013966,1.0236183,17.620298,17.972628,17.087156,1.0056286,5443.461
201.86746904190232,-47.6738293812953,-3.037745329739525,-7.372265834449037,0.3035866569757685,1.3351583,18.758957,19.098055,18.233747,1.0059276,5546.342
201.874214659474,-47.64548346241805,-3.536511900151666,-6.799577600503533,0.1813615463932221,1.116593,18.034458,18.217413,17.343784,1.0052757,5552.3984
201.8679511144162,-47.64956008154915,-3.075360942445925,-7.039172251233989,0.5021160425558768,2.6678865,18.37292,18.657253,17.927582,1.1150987,5764.65
201.8785905864727,-47.636263410322854,-3.998568554546371,-6.125327090595288,0.4899384478348614,2.4680965,18.54223,18.844206,18.06507,0.99496394,5609.363
201.91265028458827,-47.63821739634265,-3.306955994063844,-6.827481847369847,0.2296130121805126,1.3700557,18.255518,18.573723,17.709356,1.045703,5522.2246
201.91872682574203,-47.62681550287392,-3.5095069735283593,-6.5465052894081195,0.1863088589974362,1.440168,16.96308,17.24427,16.26347,1.686777,5617.591
201.92042138235476,-47.61717225241023,-3.1484327763624753,-6.752234552456942,0.0141986335922977,0.17860803,17.041162,17.41061,16.39076,0.9502935,5536.54
201.96416190508717,-47.64044559211283,-3.5960966514040225,-6.0015284942062594,1.494989232113932,5.9887896,18.64776,18.953363,18.101585,1.4198421,5478.2725
201.96954093298703,-47.62665768082779,-3.629917786006009,-7.298470795811874,0.0017999273659285,0.014028586,18.070541,18.372076,17.57342,0.997454,5659.45
201.9708362027085,-47.6087106705761,-3.4432765001160632,-7.155388375766977,0.3383022041300838,2.306416,18.309418,18.535404,17.705208,0.9706401,5495.1436
201.9965086534297,-47.596914573115406,-2.856573710016442,-6.38804759072878,0.4350888428689314,1.8558472,18.84061,19.137022,18.278273,1.1492528,5360.686
201.9891576466507,-47.60463982138132,-3.176142816874153,-7.004644196852599,0.0483333774340245,0.30198038,18.404753,18.516155,17.64378,1.0370356,5492.3354
201.99549757021256,-47.59968486229779,-3.803820229518424,-7.092838386247278,0.1721247482907531,1.0579171,18.419518,18.77476,17.923883,0.9995513,5500.3315
202.01133215511385,-47.596579362703366,-3.7841319157758826,-7.276762754554125,0.5857797638783331,2.6894634,18.91076,19.201391,18.343487,1.0393986,5425.7065
201.94778749972028,-47.62170472952784,-3.230545715685534,-6.544497667494994,0.1773361727695372,1.6535501,17.447742,17.776356,16.828999,1.001038,5373.875
201.94395830554015,-47.61935499735107,-2.9157613844036123,-7.004618929410649,0.3203199070238813,2.1065667,18.210226,18.496336,17.64094,1.0070876,5657.9126
201.95887840970008,-47.59437056885148,-3.761141293585501,-6.747147952219802,0.3563024533471721,4.213663,17.335302,17.619652,16.746584,0.9975982,5802.6655
201.98287210270064,-47.592923581981125,-3.142266325273664,-7.090198718824628,0.1616885403448703,1.122964,18.191671,18.375008,17.562746,1.0248312,5539.179
201.98787368759992,-47.572276791394515,-3.0079675464571385,-7.203281070334842,0.1127481922250684,0.5415774,18.759954,19.11651,18.2825,0.9338407,5444.4595
202.02515911480313,-47.57794976012498,-3.8472248365103514,-7.308279395596045,0.0610165964221986,0.28281364,18.951406,19.277706,18.45213,0.94413227,5609.261
202.03106259964335,-47.5382838516706,-3.0426106379342412,-5.88913173428822,0.2855834019485013,2.0408628,17.217596,17.56368,16.621506,1.8493308,5251.493
