ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot,bp_rp,absolute_G
201.46685525671043,-47.615919820355906,-3.3218927913398746,-6.677454417811601,0.1720229098354667,9.951991,12.73323,13.341986,11.979302,1.003403,5883.8833,1.3626839999999998,-1.088838551725182
201.45873108193027,-47.58753088446498,-3.55406446284119,-7.229493967538094,0.2138417271407601,8.428648,14.017781,14.544153,13.320571,1.0076685,6094.577,1.2235820000000004,0.6682432671980827
201.5663568681731,-47.57916579397991,-3.2361241186538123,-6.594705861076445,0.3655488545800058,5.6112084,15.649011,15.6567,15.580635,1.2077276,13412.466,0.0760650000000016,3.4637381370663096
201.56611529935287,-47.57215548821909,-3.8917822402126054,-6.349571782012998,0.2712754280846012,4.0003963,16.17144,16.165033,16.12815,0.87176806,15451.141,0.036882999999999555,3.338492287448627
201.57845558900925,-47.54924399109365,-4.213970703277617,-5.530846573940341,0.5548131126786373,3.201118,17.719358,17.706722,16.864815,1.0588288,5625.297,0.8419069999999991,6.440091584074356
201.53483733180997,-47.56913795163324,-3.5408225719361086,-6.795447444562334,0.2060226076155522,7.388942,13.911351,14.428115,13.193415,0.89256865,5833.1353,1.2347000000000001,0.4809253985438531
201.42844820240927,-47.58408876458208,-2.215621471680337,-5.733878545150169,0.9529585729032406,4.2205706,18.665497,18.9827,18.089895,1.1141992,5383.294,0.8928050000000027,8.560867106808715
201.43586025730053,-47.56241700017406,-3.4749377178034297,-6.527847912028008,0.2496059567522024,3.2334604,16.585743,17.040155,15.973197,0.94836664,5578.7173,1.0669579999999979,3.5720177270419686
201.45999727942203,-47.54379866892877,-3.935185688887903,-7.286475338385011,0.3535596788195816,3.7435613,16.493471,16.796211,15.777544,1.2226895,5948.058,1.0186669999999989,4.235784653528642
201.5672983282644,-47.515613204708934,-3.341648142864064,-6.184564757300109,0.2158741379335621,7.608073,10.853129,11.768173,9.936904,1.1192285,4655.871,1.8312690000000007,-2.4758679186092705
201.5168041774958,-47.50998642389301,-2.5055686686311676,-6.44420680909205,0.1913143517436031,8.95638,12.528076,13.136476,11.755544,0.9568434,5777.567,1.3809319999999996,-1.0631862473736629
201.6517261927027,-47.50887725002214,-2.7248264545124714,-5.8831358979758015,0.2307065940728369,11.224904,12.196436,12.871493,11.363617,1.0081022,4730.4834,1.5078759999999996,-0.988263961323451
201.59018992152377,-47.50566793569335,-4.335375346457991,-6.9628146954909695,0.1674801812917301,7.8740463,12.096173,12.786877,11.268948,1.0240146,4621.0107,1.5179290000000005,-1.7840098883560493
201.59181547688715,-47.50074759708052,-3.0750737500762724,-6.338610311459645,0.2507885712724077,7.976004,12.842852,13.219086,11.885023,1.1905655,5564.479,1.3340630000000004,-0.16060929348135566
201.59018350112157,-47.48916798119957,-4.200132914466226,-6.637783292522693,0.2660690794248123,8.445462,14.045963,14.469218,13.162116,1.0428917,5903.9897,1.3071020000000004,1.170935034999724
201.61502517702797,-47.47816017974437,-2.2843782811797695,-6.610132385298643,0.323909930050807,9.025723,12.871374,13.291147,11.987742,1.13001,5931.7764,1.3034049999999997,0.4234953115261071
201.6190663145952,-47.450311544806354,-3.648721874080491,-6.6219318718528655,0.151576906131365,6.0875354,12.345822,12.95554,11.534766,1.0679091,5755.3125,1.4207739999999998,-1.7510128082860739
201.64788873039396,-47.44412685909079,-3.814924605945155,-7.152047775339775,0.180004594754016,3.0777245,12.58133,13.192522,11.761356,1.3361598,5162.475,1.431166000000001,-1.1422520452932865
201.59834559841823,-47.44997822233425,-3.58795633059645,-6.34957087391004,0.2160488496206091,5.215145,14.425266,14.622371,13.786995,0.99915487,6092.931,0.8353760000000001,1.0980257909878848
201.59261782669452,-47.458501756933,-2.8127621668296072,-5.951484811493531,0.2825279705728005,5.486269,14.976841,15.317091,14.186644,1.1860651,5760.493,1.1304470000000002,2.2321482495223677
201.5706304995995,-47.45627224205332,-2.2583048043435916,-6.485071932644482,0.1537430222309915,6.191239,13.64331,14.123024,12.879581,1.0077349,5460.7373,1.2434429999999992,-0.42271292980644404
201.61213317944012,-47.43543582366327,-2.317749917266469,-6.105338158883129,0.1709830000051234,3.2847047,15.018262,14.906079,14.586404,1.0979784,13986.254,0.31967500000000015,1.183026663920332
201.6671896931822,-47.41293552206666,-2.7914119765596803,-7.318975258451188,0.1167956475119571,3.744517,14.107337,14.552049,13.344674,1.0443029,5868.766,1.2073750000000008,-0.555529706356122
201.6804095040426,-47.40879842331925,-3.66904198585576,-7.191013969358729,0.1365148329464357,3.611617,14.342847,14.737619,13.56351,1.2028705,5729.4307,1.1741089999999996,0.018746209880429632
201.65229197773525,-47.40353740893593,-2.931199483065407,-7.13674697644766,0.2838832843447346,5.2169323,15.532372,15.874397,14.779442,1.0844411,5943.772,1.0949550000000006,2.7980711054512852
201.64787406406992,-47.41156981425529,-2.674870167714275,-6.363855520503371,0.2092066939151943,6.3378253,14.443257,14.892456,13.727646,0.8731339,6025.129,1.1648099999999992,1.046134881949449
201.70435346423716,-47.39355637899603,-2.80352144696506,-5.462252378981429,0.1279285754855383,4.103322,13.235047,13.832132,12.48006,0.9521095,5051.2397,1.3520719999999997,-1.2301151802826702
201.6764588988479,-47.38257000241822,-3.056398956734977,-7.40831304023875,0.249497855714473,3.413357,16.080011,16.397518,15.290762,1.1493665,5911.8027,1.1067560000000007,3.065345087364703
201.7138275538006,-47.36908002011462,-3.279643664178632,-7.220246068680078,0.3492604043289696,3.2229443,16.46005,16.701115,15.671661,1.0092025,5876.9263,1.0294540000000012,4.17579676219675
201.80119600355167,-47.52441744012075,-3.8519518643403767,-6.648144608334282,0.1855272420342517,4.421988,14.03703,14.513132,13.281213,1.1322756,5721.959,1.2319190000000013,0.3790684429762692
201.82520254289935,-47.49301198007942,-3.6612898344155935,-7.2104262127720995,0.1864606429749341,4.268178,14.531384,14.932754,13.768085,1.356068,5727.5312,1.164669,0.8843198873567744
201.8273840711525,-47.49925130019443,-4.581598704516822,-6.079457747553194,0.3174400734885922,7.859153,14.8411875,14.849602,14.484144,1.086434,11035.8955,0.3654580000000003,2.3494962550746568
201.83725457079828,-47.49605359958888,-3.633461823115516,-6.518191660200168,0.1359020415714981,5.9224834,12.720955,13.340647,11.936955,1.0750954,5359.171,1.4036920000000013,-1.6129150954186073
201.94162227930295,-47.43341028307297,-3.2927784578958548,-6.432836095189424,0.106775452455366,4.171274,14.481866,14.998059,13.791211,0.9372238,5371.9517,1.206847999999999,-0.375776897986027
201.87149921869175,-47.47123000486425,-3.9443161903039297,-7.1720798201426845,0.2788229506717236,6.1663465,14.875783,15.291063,14.121537,1.3638657,5701.421,1.1695259999999994,2.1024255942578094
201.89544382164516,-47.438927810659976,-3.921006770143375,-7.552464180484067,0.2102581937165077,4.4363093,15.914708,16.337318,15.238058,1.0620497,5741.014,1.0992599999999992,2.528472645810579
201.88594292931325,-47.44093173326366,-4.481408811893948,-6.431297461113656,0.613201762031349,4.400008,17.6358,17.807528,16.96636,1.1349345,5886.8623,0.8411679999999997,6.573816970632759
201.91633739157868,-47.42501977596913,-2.689188422117915,-7.222444722158585,0.1431777379415629,7.6623077,13.628754,14.092211,12.940404,1.1139833,5951.7686,1.1518070000000016,-0.5918685163117416
201.8238011385818,-47.44563955072029,-3.179853331398194,-6.7131698615549755,0.1198384786919634,4.493382,13.022045,13.635042,12.239637,1.2154447,5019.6846,1.3954050000000002,-1.5849735641392328
201.8214604931593,-47.461177480285215,-2.663064214230957,-7.241215104082511,0.139180373928633,3.1278963,14.9004135,15.306993,14.159298,0.9560211,5849.9937,1.1476950000000006,0.6183034947841968
201.90722276376405,-47.42152475609645,-3.551335667458007,-7.029029757741553,0.1648622602855683,6.569795,11.675283,13.134541,10.504861,1.093674,3592.7112,2.6296800000000005,-2.2391107510549118
201.89807850000065,-47.38421444745425,-3.1388279940535577,-6.604283480372596,0.2072628908707889,5.733219,14.648473,14.759851,14.372097,1.3382258,9468.572,0.38775399999999927,1.2310807566651754
201.94551274837735,-47.40188982255739,-3.8717391833996473,-6.953001832027792,0.2076036466018994,3.3259478,16.605536,17.047333,15.995852,0.932976,6014.8774,1.051480999999999,3.1917108885885934
201.99886391951415,-47.39494315560713,-3.5197471785477683,-7.321048895720031,0.1126441966133595,3.4632692,15.01765,15.50106,14.358039,1.0690444,6151.2017,1.143021000000001,0.2761941097392082
202.0213452397361,-47.36973345908014,-3.444521592686514,-7.179168352864632,0.1549875724142967,6.0746293,14.379564,14.918211,13.686719,1.07355,5441.247,1.2314919999999994,0.3310483796167656
201.9132552132534,-47.368633320467744,-3.6717773703453895,-6.953518934200291,0.6897660926746052,4.300638,18.160172,18.463377,17.640461,1.0229559,5678.0537,0.8229160000000029,7.353681208157354
201.98816983435216,-47.33372142989317,-2.557051796138431,-6.946386175376578,0.1368801417627629,6.422742,14.068956,14.621517,13.35721,0.9294309,6026.403,1.2643070000000005,-0.24934176840309696
201.78955949297944,-47.4198382582795,-3.4557330757224634,-7.212039006590592,0.222620633275036,3.6451669,15.240286,15.5589905,14.391866,1.2405862,6079.059,1.1671245,1.9781130691357198
201.82107235338717,-47.40183319667724,-2.207051226812297,-6.681134545704212,0.1302803247854681,4.629737,13.639879,14.104819,12.979454,1.0715064,6003.483,1.1253650000000004,-0.7857268371047201
201.7566403574781,-47.40638155909887,-3.4944297354521474,-6.3571090948123725,0.2847889656584316,3.1289656,16.077606,16.288454,15.221945,1.228261,6135.91,1.0665090000000017,3.35022179128317
201.8008145680361,-47.38644200657123,-2.754033808998323,-6.9096287035360175,0.1625887809264264,4.6356506,14.670886,15.061035,13.919882,1.1631428,6008.4517,1.141153000000001,0.7263388738841847
201.85464378144113,-47.378303712671354,-2.706248004284639,-6.915696932456739,0.488311869223223,3.9779255,17.751917,18.06315,17.237968,1.0762556,5572.999,0.8251820000000016,6.195403403270937
201.83644159342293,-47.38595790727511,-2.837499084510606,-6.967561414259625,0.5509301794425039,3.0290153,17.844988,17.865831,17.07164,1.3602754,5584.766,0.7941910000000014,6.5504708163624485
201.87077291773528,-47.37983484403274,-2.461299731542966,-6.583532066179175,0.1150701013130077,3.8703496,13.092691,13.024478,13.202844,0.9013078,22568.008,-0.17836600000000047,-1.6024965226658487
201.88435108859255,-47.35765769831025,-2.53029752609602,-7.11134303697566,0.1131921162496532,3.5912423,15.162853,15.560529,14.442727,0.935713,5610.456,1.117802000000001,0.4319338980198957
201.852450971551,-47.342010167829066,-2.4666734956293066,-7.332699633621395,0.1874721219269965,7.182143,14.548016,14.667586,14.313471,1.039174,9079.854,0.3541150000000002,0.9126994751604105
